Clave,Fecha,Almacenamiento
PMOSO,2006-12-03,13.47
ARLSO,2006-12-03,18.32
CHTSO,2006-12-03,17.9
IRASO,2006-12-03,9.89
CHTSO,2006-12-04,17.88
ARLSO,2006-12-04,18.01
PMOSO,2006-12-04,13.47
ARCSO,2006-12-04,594.01
AGZCH,2006-12-04,84.05
AOBSO,2006-12-04,1276.86
PECSO,2006-12-04,2259.13
LCDSO,2006-12-04,735.43
IRASO,2006-12-04,9.89
LCDSO,2006-12-05,735.04
PECSO,2006-12-05,2255.55
AOBSO,2006-12-05,1267.16
AGZCH,2006-12-05,83.99
ARCSO,2006-12-05,587.78
PMOSO,2006-12-05,13.47
ARLSO,2006-12-05,17.71
CHTSO,2006-12-05,17.88
IRASO,2006-12-05,9.86
CHTSO,2006-12-06,17.84
ARLSO,2006-12-06,17.61
PMOSO,2006-12-06,13.47
ARCSO,2006-12-06,581.55
AGZCH,2006-12-06,83.86
AOBSO,2006-12-06,1260.37
PECSO,2006-12-06,2249.29
LCDSO,2006-12-06,735.04
IRASO,2006-12-06,9.84
LCDSO,2006-12-07,734.65
PECSO,2006-12-07,2247.51
AOBSO,2006-12-07,1254.55
AGZCH,2006-12-07,83.74
ARCSO,2006-12-07,575.8
PMOSO,2006-12-07,13.47
ARLSO,2006-12-07,17.61
CHTSO,2006-12-07,17.82
IRASO,2006-12-07,9.81
CHTSO,2006-12-08,17.8
ARLSO,2006-12-08,17.61
PMOSO,2006-12-08,13.58
ARCSO,2006-12-08,571.49
AGZCH,2006-12-08,83.55
AOBSO,2006-12-08,1249.7
PECSO,2006-12-08,2240.37
LCDSO,2006-12-08,734.24
IRASO,2006-12-08,9.79
LCDSO,2006-12-09,733.87
PECSO,2006-12-09,2229.7
AOBSO,2006-12-09,1249.82
AGZCH,2006-12-09,83.42
ARCSO,2006-12-09,565.74
PMOSO,2006-12-09,13.58
ARLSO,2006-12-09,17.61
CHTSO,2006-12-09,17.78
IRASO,2006-12-09,9.76
CHTSO,2006-12-10,17.76
ARLSO,2006-12-10,17.61
PMOSO,2006-12-10,13.58
ARCSO,2006-12-10,560.47
AGZCH,2006-12-10,83.25
AOBSO,2006-12-10,1247.76
PECSO,2006-12-10,2226.16
LCDSO,2006-12-10,733.48
IRASO,2006-12-10,9.76
LCDSO,2006-12-11,733.09
PECSO,2006-12-11,2226.16
AOBSO,2006-12-11,1245.82
AGZCH,2006-12-11,83.17
ARCSO,2006-12-11,555.2
PMOSO,2006-12-11,13.58
ARLSO,2006-12-11,17.4
CHTSO,2006-12-11,17.72
IRASO,2006-12-11,9.74
CHTSO,2006-12-12,17.68
ARLSO,2006-12-12,17.2
PMOSO,2006-12-12,13.58
ARCSO,2006-12-12,550.68
AGZCH,2006-12-12,83.05
AOBSO,2006-12-12,1241.94
PECSO,2006-12-12,2219.07
LCDSO,2006-12-12,732.7
IRASO,2006-12-12,9.71
LCDSO,2006-12-13,732.32
PECSO,2006-12-13,2219.07
AOBSO,2006-12-13,1240
AGZCH,2006-12-13,82.92
ARCSO,2006-12-13,546.16
PMOSO,2006-12-13,13.58
ARLSO,2006-12-13,17
CHTSO,2006-12-13,17.66
IRASO,2006-12-13,9.68
CHTSO,2006-12-14,17.66
ARLSO,2006-12-14,16.79
PMOSO,2006-12-14,13.58
ARCSO,2006-12-14,542.54
AGZCH,2006-12-14,82.79
AOBSO,2006-12-14,1237.24
PECSO,2006-12-14,2215.54
LCDSO,2006-12-14,731.93
IRASO,2006-12-14,9.66
LCDSO,2006-12-15,731.54
PECSO,2006-12-15,2210.24
AOBSO,2006-12-15,1235.4
AGZCH,2006-12-15,82.67
ARCSO,2006-12-15,538.47
PMOSO,2006-12-15,13.39
ARLSO,2006-12-15,16.59
CHTSO,2006-12-15,17.66
IRASO,2006-12-15,9.63
CHTSO,2006-12-16,17.64
ARLSO,2006-12-16,16.39
PMOSO,2006-12-16,13.39
ARCSO,2006-12-16,534.4
AGZCH,2006-12-16,82.54
AOBSO,2006-12-16,1234.48
PECSO,2006-12-16,2203.19
LCDSO,2006-12-16,730.76
IRASO,2006-12-16,9.63
LCDSO,2006-12-17,729.83
PECSO,2006-12-17,2194.04
AOBSO,2006-12-17,1236.32
AGZCH,2006-12-17,82.48
ARCSO,2006-12-17,530.78
PMOSO,2006-12-17,13.39
ARLSO,2006-12-17,16.18
CHTSO,2006-12-17,17.64
IRASO,2006-12-17,9.61
CHTSO,2006-12-18,17.64
